school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,G3,G2,G1,guardian,schoolsup,famsup,paid,activities,higher,romantic,traveltime,studytime,failures,famrel,goout,Dalc,Walc,health,absences,freetime
GP,F,17,R,LE3,A,1,4,other,other,course,yes,yes,8.0,9.0,9.0,other,no,yes,no,no,yes,no,4.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,14.0,5.0
GP,F,17,R,LE3,T,1,1,at_home,other,course,yes,yes,15.0,14.0,15.0,mother,no,no,no,yes,yes,no,2.0,3.0,0.0,4.0,3.0,1.0,3.0,5.0,4.0,3.0
GP,F,17,R,LE3,T,2,2,services,services,course,yes,yes,10.5,11.0,11.0,mother,no,yes,yes,yes,yes,no,1.0,3.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
GP,F,17,R,LE3,T,3,1,services,other,reputation,yes,no,18.5,18.5,18.0,mother,no,yes,yes,no,yes,no,2.0,4.0,0.0,3.0,2.0,1.0,1.0,3.0,6.0,1.0
GP,F,17,R,LE3,T,4,4,services,other,other,yes,no,10.5,10.5,10.0,mother,no,yes,yes,no,yes,no,1.0,1.0,0.0,5.0,1.0,1.0,2.0,3.0,12.0,2.0
GP,F,17,U,GT3,A,2,1,other,other,course,yes,yes,14.0,12.5,13.5,mother,no,no,no,yes,yes,yes,2.0,3.0,0.0,3.0,3.0,1.0,2.0,3.0,10.0,2.0
GP,F,17,U,GT3,A,2,2,at_home,at_home,home,yes,yes,7.0,10.0,9.5,father,no,yes,no,no,yes,yes,1.0,2.0,0.5,3.0,1.0,1.0,2.0,4.0,18.0,3.0
GP,F,17,U,GT3,A,3,3,health,other,reputation,no,yes,11.5,10.0,10.0,mother,no,yes,no,no,yes,yes,1.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,10.0,3.0
GP,F,17,U,GT3,A,4,3,services,services,course,yes,yes,15.0,13.5,14.0,mother,no,yes,yes,no,yes,yes,1.0,2.0,0.0,5.0,2.0,1.0,2.0,5.0,23.0,2.0
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,9.5,9.0,8.0,mother,yes,yes,no,no,yes,no,2.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,no,10.0,9.0,10.0,mother,yes,no,no,no,yes,yes,1.0,2.0,0.0,4.0,2.0,1.0,1.0,4.0,10.0,3.0
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,8.5,8.0,7.0,father,no,yes,no,no,yes,no,1.0,2.0,0.0,5.0,3.0,1.0,1.0,3.0,4.0,3.0
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,yes,no,6.0,8.5,9.0,mother,no,yes,no,yes,yes,yes,1.0,3.0,0.5,4.0,4.0,1.0,1.0,5.0,12.0,3.0
GP,F,17,U,GT3,T,1,1,at_home,services,course,yes,yes,10.5,9.5,10.0,mother,no,no,no,yes,yes,no,1.0,2.0,0.0,5.0,3.0,1.0,1.0,3.0,0.0,3.0
GP,F,17,U,GT3,T,1,1,other,other,course,no,no,12.5,12.0,11.5,mother,no,yes,yes,no,yes,no,1.0,2.0,0.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0
GP,F,17,U,GT3,T,1,1,other,services,course,yes,no,11.0,10.0,11.0,father,no,yes,no,no,yes,no,1.0,2.0,0.0,4.0,4.0,1.0,2.0,5.0,4.0,3.0
GP,F,17,U,GT3,T,1,1,services,teacher,reputation,yes,yes,13.0,12.5,13.0,mother,no,yes,yes,no,yes,no,1.0,3.0,0.0,4.0,3.0,1.0,1.0,3.0,6.0,3.0
GP,F,17,U,GT3,T,2,1,services,other,course,yes,yes,15.0,15.0,12.0,mother,no,yes,no,yes,yes,yes,2.0,2.0,0.0,4.0,4.0,2.0,2.0,1.0,10.0,3.0
GP,F,17,U,GT3,T,2,1,services,other,reputation,yes,yes,16.0,16.0,12.0,mother,no,yes,no,yes,yes,no,1.0,2.0,0.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,yes,yes,11.5,11.0,10.5,mother,no,yes,yes,yes,yes,no,1.0,3.0,0.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0
GP,F,17,U,GT3,T,2,2,other,other,course,no,yes,12.5,10.5,11.0,mother,no,yes,no,no,yes,no,1.0,2.0,0.0,5.0,5.0,1.0,2.0,5.0,12.0,4.0
GP,F,17,U,GT3,T,2,2,other,other,course,yes,no,11.0,11.0,12.5,mother,no,yes,no,no,yes,yes,1.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,12.0,2.0
GP,F,17,U,GT3,T,2,2,other,services,reputation,yes,yes,15.0,15.0,13.0,father,no,yes,no,no,yes,yes,3.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,8.0,2.0
